web-scraper-order,web-scraper-start-url,link,link-href,title,poster_url-src
1672164646-643,"https://www.imdb.com/search/title/?genres=animation&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=fd0c0dd4-de47-4168-baa8-239e02fd9ee7&pf_rd_r=0QT0GHSZHD654892VS4N&pf_rd_s=center-4&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr4_i_1",O Estranho Mundo de Jack,https://www.imdb.com/title/tt0107688/?ref_=adv_li_tt,O Estranho Mundo de Jack,"https://m.media-amazon.com/images/M/MV5BNWE4OTNiM2ItMjY4Ni00ZTViLWFiZmEtZGEyNGY2ZmNlMzIyXkEyXkFqcGdeQXVyMDU5NDcxNw@@._V1_QL75_UX190_CR0,2,190,281_.jpg"
1672164651-644,"https://www.imdb.com/search/title/?genres=animation&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=fd0c0dd4-de47-4168-baa8-239e02fd9ee7&pf_rd_r=0QT0GHSZHD654892VS4N&pf_rd_s=center-4&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr4_i_1",Os Simpsons,https://www.imdb.com/title/tt0096697/?ref_=adv_li_tt,Os Simpsons,"https://m.media-amazon.com/images/M/MV5BYjFkMTlkYWUtZWFhNy00M2FmLThiOTYtYTRiYjVlZWYxNmJkXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UX190_CR0,2,190,281_.jpg"
1672164655-645,"https://www.imdb.com/search/title/?genres=animation&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=fd0c0dd4-de47-4168-baa8-239e02fd9ee7&pf_rd_r=0QT0GHSZHD654892VS4N&pf_rd_s=center-4&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr4_i_1",Scrooge: Um Conto de Natal,https://www.imdb.com/title/tt20917338/?ref_=adv_li_tt,Scrooge: Um Conto de Natal,"https://m.media-amazon.com/images/M/MV5BNDJmMzc1NzItNDQzYi00Nzk3LTg2NWYtMGRkNTM4MWIyMmU5XkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_QL75_UY281_CR18,0,190,281_.jpg"
1672164660-646,"https://www.imdb.com/search/title/?genres=animation&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=fd0c0dd4-de47-4168-baa8-239e02fd9ee7&pf_rd_r=0QT0GHSZHD654892VS4N&pf_rd_s=center-4&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr4_i_1",Uma Família da Pesada,https://www.imdb.com/title/tt0182576/?ref_=adv_li_tt,Uma Família da Pesada,"https://m.media-amazon.com/images/M/MV5BODEwZjEzMjAtNjQxMy00Yjc4LWFlMDAtYjhjZTAxNDU3OTg3XkEyXkFqcGdeQXVyOTM2NTM4MjA@._V1_QL75_UY281_CR11,0,190,281_.jpg"
1672164664-647,"https://www.imdb.com/search/title/?genres=animation&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=fd0c0dd4-de47-4168-baa8-239e02fd9ee7&pf_rd_r=0QT0GHSZHD654892VS4N&pf_rd_s=center-4&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr4_i_1",A Bela e a Fera: Uma Comemoração de 30 Anos,https://www.imdb.com/title/tt21220842/?ref_=adv_li_tt,A Bela e a Fera: Uma Comemoração de 30 Anos,"https://m.media-amazon.com/images/M/MV5BNDMzMDIwY2QtZTQxNy00ZjQwLWJhNzAtYmNmYzg1ZTQ5YTdhXkEyXkFqcGdeQXVyMzAxOTk1MjA@._V1_QL75_UY281_CR17,0,190,281_.jpg"
1672164668-648,"https://www.imdb.com/search/title/?genres=animation&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=fd0c0dd4-de47-4168-baa8-239e02fd9ee7&pf_rd_r=0QT0GHSZHD654892VS4N&pf_rd_s=center-4&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr4_i_1",Chainsaw Man,https://www.imdb.com/title/tt13616990/?ref_=adv_li_tt,Chainsaw Man,"https://m.media-amazon.com/images/M/MV5BZjY5MDFhZTgtOGVhMi00NTUzLTk5NjktNmRlMjI3NjI4MmE0XkEyXkFqcGdeQXVyMTMzNDExODE5._V1_QL75_UY281_CR0,0,190,281_.jpg"
1672164672-649,"https://www.imdb.com/search/title/?genres=animation&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=fd0c0dd4-de47-4168-baa8-239e02fd9ee7&pf_rd_r=0QT0GHSZHD654892VS4N&pf_rd_s=center-4&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr4_i_1",Os Fantasmas de Scrooge,https://www.imdb.com/title/tt1067106/?ref_=adv_li_tt,Os Fantasmas de Scrooge,"https://m.media-amazon.com/images/M/MV5BNGYzN2MwZjktY2NjYy00YzFkLTg2ZWUtZjZmMzNkNzcwNWZkXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_QL75_UY281_CR5,0,190,281_.jpg"
1672164675-650,"https://www.imdb.com/search/title/?genres=animation&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=fd0c0dd4-de47-4168-baa8-239e02fd9ee7&pf_rd_r=0QT0GHSZHD654892VS4N&pf_rd_s=center-4&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr4_i_1",Klaus,https://www.imdb.com/title/tt4729430/?ref_=adv_li_tt,Klaus,"https://m.media-amazon.com/images/M/MV5BMWYwOThjM2ItZGYxNy00NTQwLWFlZWEtM2MzM2Q5MmY3NDU5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
1672164680-651,"https://www.imdb.com/search/title/?genres=animation&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=fd0c0dd4-de47-4168-baa8-239e02fd9ee7&pf_rd_r=0QT0GHSZHD654892VS4N&pf_rd_s=center-4&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr4_i_1",O Expresso Polar,https://www.imdb.com/title/tt0338348/?ref_=adv_li_tt,O Expresso Polar,"https://m.media-amazon.com/images/M/MV5BMTM1NTU0NTE4MV5BMl5BanBnXkFtZTcwMTQ0MjEzMw@@._V1_QL75_UY281_CR0,0,190,281_.jpg"
1672164684-652,"https://www.imdb.com/search/title/?genres=animation&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=fd0c0dd4-de47-4168-baa8-239e02fd9ee7&pf_rd_r=0QT0GHSZHD654892VS4N&pf_rd_s=center-4&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr4_i_1",Rick e Morty,https://www.imdb.com/title/tt2861424/?ref_=adv_li_tt,Rick e Morty,"https://m.media-amazon.com/images/M/MV5BZjRjOTFkOTktZWUzMi00YzMyLThkMmYtMjEwNmQyNzliYTNmXkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_QL75_UX190_CR0,2,190,281_.jpg"
1672164688-653,"https://www.imdb.com/search/title/?genres=animation&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=fd0c0dd4-de47-4168-baa8-239e02fd9ee7&pf_rd_r=0QT0GHSZHD654892VS4N&pf_rd_s=center-4&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr4_i_1",O Grinch,https://www.imdb.com/title/tt2709692/?ref_=adv_li_tt,O Grinch,"https://m.media-amazon.com/images/M/MV5BNWU5NDQ3ZGUtYjcwMy00ZjA4LThmZWUtMjVmZWRkMzBmMzI5XkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_QL75_UY281_CR5,0,190,281_.jpg"
1672164692-654,"https://www.imdb.com/search/title/?genres=animation&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=fd0c0dd4-de47-4168-baa8-239e02fd9ee7&pf_rd_r=0QT0GHSZHD654892VS4N&pf_rd_s=center-4&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr4_i_1",Gato de Botas 2: O Último Pedido,https://www.imdb.com/title/tt3915174/?ref_=adv_li_tt,Gato de Botas 2: O Último Pedido,"https://m.media-amazon.com/images/M/MV5BNjMyMDBjMGUtNDUzZi00N2MwLTg1MjItZTk2MDE1OTZmNTYxXkEyXkFqcGdeQXVyMTQ5NjA0NDM0._V1_QL75_UX190_CR0,4,190,281_.jpg"
1672164695-655,"https://www.imdb.com/search/title/?genres=animation&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=fd0c0dd4-de47-4168-baa8-239e02fd9ee7&pf_rd_r=0QT0GHSZHD654892VS4N&pf_rd_s=center-4&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr4_i_1",Mundo Estranho,https://www.imdb.com/title/tt10298840/?ref_=adv_li_tt,Mundo Estranho,"https://m.media-amazon.com/images/M/MV5BZTk1NzQwMWQtNzVmNS00MDc4LWE1MTktMmQyYzExYWMwZDQ4XkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_QL75_UX190_CR0,0,190,281_.jpg"
1672164699-656,"https://www.imdb.com/search/title/?genres=animation&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=fd0c0dd4-de47-4168-baa8-239e02fd9ee7&pf_rd_r=0QT0GHSZHD654892VS4N&pf_rd_s=center-4&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr4_i_1",Pinóquio,https://www.imdb.com/title/tt1488589/?ref_=adv_li_tt,Pinóquio,"https://m.media-amazon.com/images/M/MV5BZjg3MzJjZDYtMmUwMi00NjBkLTkyYzctYTNkNjdiZDk3ZDcxXkEyXkFqcGdeQXVyMTQyMTMwOTk0._V1_QL75_UY281_CR6,0,190,281_.jpg"
