web-scraper-order,web-scraper-start-url,link,link-href,title,poster_url-src
1672157380-462,https://www.imdb.com/search/title/?genres=action&languages=pt,Velocidade Máxima 2,https://www.imdb.com/title/tt0120179/?ref_=adv_li_tt,Velocidade Máxima 2,"https://m.media-amazon.com/images/M/MV5BOTRlOTQ0MzItZjUwYi00MDkwLWIwYTctZTgyNGY3OGQwZWViXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,1,190,281_.jpg"
1672157384-463,https://www.imdb.com/search/title/?genres=action&languages=pt,007 Contra o Foguete da Morte,https://www.imdb.com/title/tt0079574/?ref_=adv_li_tt,007 Contra o Foguete da Morte,"https://m.media-amazon.com/images/M/MV5BYWE1ZDE1ZjMtNTVlZS00NGZjLTg2MWItYjQzMTJlMzAzZGNkXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,3,190,281_.jpg"
1672157388-464,https://www.imdb.com/search/title/?genres=action&languages=pt,Táxi,https://www.imdb.com/title/tt0316732/?ref_=adv_li_tt,Táxi,"https://m.media-amazon.com/images/M/MV5BYWZiMGViM2YtODJmYi00MDI3LTlmNjktNDI1ZjhmY2U2MDhlXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_QL75_UY281_CR6,0,190,281_.jpg"
1672157392-465,https://www.imdb.com/search/title/?genres=action&languages=pt,Uncharted 4: A Thief's End,https://www.imdb.com/title/tt3334704/?ref_=adv_li_tt,Uncharted 4: A Thief's End,"https://m.media-amazon.com/images/M/MV5BMTYzYzIxMjktMDM4NS00MTM5LWJlMDgtNDRhMDNhOGRmY2EwXkEyXkFqcGdeQXVyMTk2OTAzNTI@._V1_QL75_UX190_CR0,2,190,281_.jpg"
1672157396-466,https://www.imdb.com/search/title/?genres=action&languages=pt,Assassino a Preço Fixo 2: A Ressurreição,https://www.imdb.com/title/tt3522806/?ref_=adv_li_tt,Assassino a Preço Fixo 2: A Ressurreição,"https://m.media-amazon.com/images/M/MV5BMjYwODExNzUwMV5BMl5BanBnXkFtZTgwNTgwNjUyOTE@._V1_QL75_UX190_CR0,0,190,281_.jpg"
1672157400-467,https://www.imdb.com/search/title/?genres=action&languages=pt,3%,https://www.imdb.com/title/tt4922804/?ref_=adv_li_tt,3%,"https://m.media-amazon.com/images/M/MV5BZmM2MWZmNTEtNjQ3OS00YzUxLTg0ZTctZjE1MWIwNDUxNjI3XkEyXkFqcGdeQXVyNDg4MjkzNDk@._V1_QL75_UX190_CR0,0,190,281_.jpg"
1672157403-468,https://www.imdb.com/search/title/?genres=action&languages=pt,xXx: Reativado,https://www.imdb.com/title/tt1293847/?ref_=adv_li_tt,xXx: Reativado,"https://m.media-amazon.com/images/M/MV5BNWZjNjRmNWMtNzIyMy00NjNkLThhMmQtODAyY2YwYTRhMGIxXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_QL75_UY281_CR1,0,190,281_.jpg"
1672157407-469,https://www.imdb.com/search/title/?genres=action&languages=pt,Monstros vs. Alienígenas,https://www.imdb.com/title/tt0892782/?ref_=adv_li_tt,Monstros vs. Alienígenas,"https://m.media-amazon.com/images/M/MV5BMTY0OTQ3MzE3MV5BMl5BanBnXkFtZTcwMDQyMzMzMg@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
1672157411-470,https://www.imdb.com/search/title/?genres=action&languages=pt,Velozes & Furiosos 5: Operação Rio,https://www.imdb.com/title/tt1596343/?ref_=adv_li_tt,Velozes & Furiosos 5: Operação Rio,"https://m.media-amazon.com/images/M/MV5BMTUxNTk5MTE0OF5BMl5BanBnXkFtZTcwMjA2NzY3NA@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
1672157415-471,https://www.imdb.com/search/title/?genres=action&languages=pt,Bem-Vindo à Selva,https://www.imdb.com/title/tt0327850/?ref_=adv_li_tt,Bem-Vindo à Selva,"https://m.media-amazon.com/images/M/MV5BMWU3ZDYxZjMtZmYyOS00NWQyLTk1MmItNDg4ZWM2ZGQxOTNiXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_QL75_UX190_CR0,0,190,281_.jpg"
